counties,none_care,first_trimester,second_trimester,third_trimester,unknown_care,year,male,female,unknown_gender,singleton,twins,other_multiples,unknown_plural,white_non_hispanic,african_american_non_hispanic,other_non_hispanic,hispanic,gms_0_499,gms_500_1499,gms_1500_2499,gms_2500_8165,unknown_weight,pop
LINCOLN,6,591,177,35,0,2016,411,398,0,781,28,0,0,676,47,16,70,2,13,66,728,0,81229
MCDOWELL,8,373,50,12,1,2016,249,195,0,425,19,0,0,389,11,9,35,0,8,48,388,0,44866
MACON,4,264,53,7,5,2016,169,164,0,331,2,0,0,257,2,11,63,0,3,26,304,0,34262
MADISON,3,172,16,2,3,2016,98,98,0,194,2,0,0,189,1,1,5,0,2,17,177,0,21367
MARTIN,4,187,41,3,2,2016,127,110,0,231,6,0,0,101,115,2,19,0,7,24,206,0,23122
MECKLENBURG,330,9887,3601,1009,49,2016,7655,7220,1,14287,571,18,0,5795,4699,1422,2960,38,212,1174,13452,0,1056901
MITCHELL,0,111,25,2,3,2016,72,69,0,137,4,0,0,126,1,1,13,0,1,10,130,0,14996
MONTGOMERY,7,189,85,13,2,2016,145,151,0,288,8,0,0,175,36,10,75,1,4,25,266,0,27301
MOORE,16,791,267,53,5,2016,594,538,0,1086,46,0,0,834,146,43,109,0,15,97,1020,0,95405
NASH,24,646,267,72,7,2016,536,480,0,978,38,0,0,429,461,20,106,2,21,66,927,0,93953
NEW HANOVER,30,1497,606,92,16,2016,1171,1070,0,2161,80,0,0,1552,370,68,251,3,29,147,2060,2,224809
NORTHAMPTON,4,150,34,11,1,2016,103,97,0,187,10,3,0,55,131,2,12,1,7,20,172,0,20127
ONSLOW,76,2987,620,242,34,2016,2051,1908,0,3866,93,0,0,2803,484,126,546,7,50,197,3705,0,192314
ORANGE,15,862,227,45,17,2016,595,571,0,1123,43,0,0,689,152,130,195,1,16,87,1062,0,142800
PAMLICO,0,68,23,7,0,2016,57,41,0,94,4,0,0,67,17,3,11,0,0,9,89,0,12765
PASQUOTANK,9,296,139,31,4,2016,242,237,0,470,9,0,0,253,172,14,40,0,4,35,440,0,39392
PENDER,10,416,177,42,6,2016,320,331,0,619,32,0,0,459,94,9,89,0,12,47,592,0,58771
PERQUIMANS,0,95,25,1,1,2016,35,87,0,118,4,0,0,100,17,2,3,0,3,13,106,0,13402
PERSON,7,250,110,29,5,2016,202,199,0,388,13,0,0,244,122,5,30,0,6,25,369,1,39270
PITT,22,1671,254,52,24,2016,1019,1003,1,1954,63,6,0,924,870,58,171,13,39,151,1818,2,177171
POLK,5,88,20,2,25,2016,65,75,0,140,0,0,0,113,6,1,20,0,1,9,130,0,20414
RANDOLPH,22,991,479,98,10,2016,802,798,0,1542,58,0,0,1115,133,52,300,3,25,112,1460,0,143062
RICHMOND,7,293,172,41,5,2016,251,267,0,504,14,0,0,250,188,28,52,1,7,47,462,1,45012
ROBESON,43,985,588,120,39,2016,930,845,0,1729,46,0,0,331,381,787,276,4,37,177,1556,1,133383
