first_trimester,second_trimester,third_trimester,unknown_care,year,male,female,unknown_gender,singleton,twins,other_multiples,white_non_hispanic,african_american_non_hispanic,other_non_hispanic,hispanic,gms_0_499,gms_500_1499,gms_1500_2499,gms_2500_8165,unknown_weight,label,pred,counties,pop
88,13,5,1,2017,45,64,0,105,4,0,98,0,2,9,0,0,11,98,0,17517,14958.829395345412,AVERY,17517
164,89,21,1,2019,135,143,0,266,12,0,143,51,11,73,0,1,26,251,0,27173,29738.850141077768,MONTGOMERY,27173
299,61,13,2,2016,192,188,0,369,8,3,339,12,3,26,2,4,26,348,0,45920,37613.05858097412,STOKES,45920
472,129,21,12,2016,314,333,0,631,16,0,255,305,6,81,2,13,53,579,0,57240,57063.95944446791,LENOIR,57240
1292,420,100,4,2019,971,913,0,1831,53,0,1303,279,79,223,4,21,116,1743,0,181806,176660.05146676442,IREDELL,181806
598,182,46,5,2018,414,432,0,825,21,0,377,214,84,171,2,16,49,779,0,54695,75158.66158567369,HOKE,54695
2286,217,41,22,2016,1322,1273,0,2508,86,1,2035,198,53,309,4,36,190,2365,0,254955,231604.3068194855,BUNCOMBE,254955
460,74,27,2,2017,287,280,0,545,22,0,478,35,11,43,0,8,33,526,0,68921,50063.53369156923,CARTERET,68921
88,20,2,25,2016,65,75,0,140,0,0,113,6,1,20,0,1,9,130,0,20414,20636.51525035454,POLK,20414
332,37,22,2,2017,206,192,0,382,16,0,349,7,9,33,2,6,26,364,0,55181,32508.436075539328,WATAUGA,55181
140,48,6,5,2018,105,101,0,200,6,0,96,66,1,43,3,1,17,185,0,21106,22860.615073497407,GREENE,21106
30,7,0,0,2017,24,14,0,36,2,0,24,6,1,7,0,0,4,34,0,4180,6596.288437106181,TYRRELL,4180
3680,1731,561,24,2018,3153,2961,1,5884,225,6,2285,2540,490,800,7,89,496,5519,4,532607,454500.99823990837,GUILFORD,532607
311,143,33,95,2016,288,305,0,577,16,0,324,188,20,61,2,10,64,517,0,56292,60569.45664369129,COLUMBUS,56292
435,54,16,8,2019,265,260,0,512,13,0,483,8,10,24,1,10,45,469,0,62317,54296.228775876574,HAYWOOD,62317
72,15,2,0,2017,46,43,0,87,2,0,78,8,1,2,0,0,7,82,0,10532,12365.174296790734,CAMDEN,10532
1639,346,61,10,2018,1061,1024,0,2005,74,6,852,940,72,221,8,49,184,1844,0,179575,159196.61812287755,PITT,179575
367,126,26,10,2018,267,270,0,519,18,0,186,307,29,15,4,17,49,467,0,50634,43125.141045215074,HALIFAX,50634
152,34,5,2,2019,96,99,0,191,4,0,54,131,1,9,0,3,20,172,0,23677,21640.526849256363,HERTFORD,23677
399,175,33,2,2017,311,305,0,592,24,0,236,299,4,77,3,7,47,559,0,56622,51152.175403463654,LENOIR,56622
9887,3601,1009,49,2016,7655,7220,1,14287,571,18,5795,4699,1422,2960,38,212,1174,13452,0,1056901,1103197.8727179654,MECKLENBURG,1056901
1665,558,65,18,2016,1170,1166,0,2262,71,3,1476,359,47,454,1,25,178,2132,0,190843,229104.66443013307,JOHNSTON,190843
351,151,36,6,2016,285,285,0,548,22,0,316,168,14,72,2,12,45,510,1,58684,57510.442084155045,GRANVILLE,58684
62,20,5,0,2018,52,38,0,86,4,0,70,14,3,3,0,1,5,84,0,12633,11808.290434803814,PAMLICO,12633
315,152,62,3,2019,292,278,0,549,21,0,162,318,13,77,3,13,51,503,0,44535,39170.37593040336,VANCE,44535
959,268,72,6,2019,665,654,0,1281,38,0,815,285,70,149,3,13,109,1194,0,102139,116016.16966725327,CRAVEN,102139
466,142,20,20,2016,325,334,0,631,28,0,529,74,9,47,4,12,51,591,1,66286,72433.27451036591,RUTHERFORD,66286
90,25,1,2,2018,56,65,0,119,2,0,89,28,2,2,0,0,6,115,0,13381,19281.282713660505,PERQUIMANS,13381
1032,433,114,10,2019,816,803,0,1568,48,3,729,514,38,338,7,30,142,1440,0,123131,125400.04859687621,WAYNE,123131
129,13,1,3,2016,81,68,0,143,6,0,126,0,2,21,0,7,15,127,0,17442,14005.128980737645,AVERY,17442
