Counties,male,female,unknown_gender,Total_gender,Year
ALAMANCE ,1023,935,0,1958,2018
ALEXANDER ,170,174,0,344,2018
ALLEGHANY ,46,45,0,91,2018
ANSON ,138,125,0,263,2018
ASHE ,97,102,0,199,2018
AVERY ,82,81,0,163,2018
BEAUFORT ,193,223,0,416,2018
BERTIE ,96,83,0,179,2018
BLADEN ,181,190,0,371,2018
BRUNSWICK ,535,452,0,987,2018
BUNCOMBE ,1252,1230,0,2482,2018
BURKE ,417,446,0,863,2018
CABARRUS ,1286,1223,0,2509,2018
CALDWELL ,387,390,0,777,2018
CAMDEN ,50,48,0,98,2018
CARTERET ,256,245,0,501,2018
CASWELL ,111,107,0,218,2018
CATAWBA ,846,847,0,1693,2018
CHATHAM ,355,295,0,650,2018
CHEROKEE ,145,113,0,258,2018
CHOWAN ,78,65,0,143,2018
CLAY ,48,35,0,83,2018
CLEVELAND ,597,565,0,1162,2018
COLUMBUS ,276,290,0,566,2018
CRAVEN ,685,652,0,1337,2018
CUMBERLAND ,2754,2648,0,5402,2018
CURRITUCK ,140,123,0,263,2018
DARE ,170,148,0,318,2018
DAVIDSON ,903,848,0,1751,2018
DAVIE ,197,201,0,398,2018
DUPLIN ,364,343,0,707,2018
DURHAM ,2089,2062,0,4151,2018
EDGECOMBE ,298,295,0,593,2018
FORSYTH ,2207,2123,0,4330,2018
FRANKLIN ,349,348,0,697,2018
GASTON ,1316,1210,0,2526,2018
GATES ,42,52,0,94,2018
GRAHAM ,38,40,0,78,2018
GRANVILLE ,275,315,0,590,2018
GREENE ,105,101,0,206,2018
GUILFORD ,3153,2961,1,6115,2018
HALIFAX ,267,270,0,537,2018
HARNETT ,987,858,0,1845,2018
HAYWOOD ,282,259,0,541,2018
HENDERSON ,545,548,0,1093,2018
HERTFORD ,112,118,0,230,2018
HOKE ,414,432,0,846,2018
HYDE ,15,20,0,35,2018
IREDELL ,976,915,0,1891,2018
JACKSON ,190,176,0,366,2018
JOHNSTON ,1175,1124,0,2299,2018
JONES ,46,42,0,88,2018
LEE ,417,375,0,792,2018
LENOIR ,333,291,0,624,2018
LINCOLN ,425,431,0,856,2018
MCDOWELL ,220,198,0,418,2018
MACON ,156,166,0,322,2018
MADISON ,106,115,0,221,2018
MARTIN ,134,113,0,247,2018
MECKLENBURG ,7376,7275,0,14651,2018
MITCHELL ,81,68,0,149,2018
MONTGOMERY ,144,134,0,278,2018
MOORE ,600,568,0,1168,2018
NASH ,509,537,0,1046,2018
NEW HANOVER ,1047,1099,0,2146,2018
NORTHAMPTON ,87,84,0,171,2018
ONSLOW ,2014,1909,0,3923,2018
ORANGE ,549,585,0,1134,2018
PAMLICO ,52,38,0,90,2018
PASQUOTANK ,244,210,0,454,2018
PENDER ,330,293,0,623,2018
PERQUIMANS ,56,65,0,121,2018
PERSON ,207,193,0,400,2018
PITT ,1061,1024,0,2085,2018
POLK ,78,71,0,149,2018
RANDOLPH ,755,765,0,1520,2018
RICHMOND ,283,272,0,555,2018
ROBESON ,858,841,0,1699,2018
ROCKINGHAM ,469,444,0,913,2018
ROWAN ,806,787,0,1593,2018
RUTHERFORD ,336,318,0,654,2018
SAMPSON ,422,412,0,834,2018
SCOTLAND ,225,218,0,443,2018
STANLY ,338,338,0,676,2018
STOKES ,198,198,0,396,2018
SURRY ,387,370,0,757,2018
SWAIN ,78,63,0,141,2018
TRANSYLVANIA ,138,140,0,278,2018
TYRRELL ,16,18,0,34,2018
UNION ,1273,1182,0,2455,2018
VANCE ,281,281,0,562,2018
WAKE ,6479,6101,0,12580,2018
WARREN ,76,83,0,159,2018
WASHINGTON ,69,60,0,129,2018
WATAUGA ,176,178,0,354,2018
WAYNE ,808,830,0,1638,2018
WILKES ,351,345,0,696,2018
WILSON ,499,477,0,976,2018
YADKIN ,182,181,0,363,2018
YANCEY ,84,99,0,183,2018
