Counties,None_Care,First_Trimester,Second_Trimester,Third_Trimester,Unknown_Care,Total_Care,Year
ALAMANCE ,36,1282,435,87,16,1856,2016
ALEXANDER ,9,253,62,19,0,343,2016
ALLEGHANY ,1,69,16,9,0,95,2016
ANSON ,5,171,71,18,1,266,2016
ASHE ,1,167,28,12,1,209,2016
AVERY ,3,129,13,1,3,149,2016
BEAUFORT ,5,335,78,8,5,431,2016
BERTIE ,1,149,34,6,0,190,2016
BLADEN ,7,200,102,23,1,333,2016
BRUNSWICK ,19,692,184,55,28,978,2016
BUNCOMBE ,29,2286,217,41,22,2595,2016
BURKE ,20,604,222,45,9,900,2016
CABARRUS ,34,1665,633,141,4,2477,2016
CALDWELL ,4,603,171,42,2,822,2016
CAMDEN ,2,67,17,1,3,90,2016
CARTERET ,7,425,90,23,1,546,2016
CASWELL ,3,148,41,10,1,203,2016
CATAWBA ,22,1275,306,55,6,1664,2016
CHATHAM ,3,464,143,23,7,640,2016
CHEROKEE ,4,178,55,14,6,257,2016
CHOWAN ,0,91,18,3,1,113,2016
CLAY ,0,79,18,3,1,101,2016
CLEVELAND ,17,592,397,41,12,1059,2016
COLUMBUS ,11,311,143,33,95,593,2016
CRAVEN ,15,1015,289,113,7,1439,2016
CUMBERLAND ,83,3917,1128,297,21,5446,2016
CURRITUCK ,3,202,36,6,15,262,2016
DARE ,1,231,74,4,9,319,2016
DAVIDSON ,31,1237,410,87,6,1771,2016
DAVIE ,0,308,95,16,1,420,2016
DUPLIN ,9,461,188,40,8,706,2016
DURHAM ,58,2957,1055,248,28,4346,2016
EDGECOMBE ,14,290,219,42,2,567,2016
FORSYTH ,35,3309,873,228,50,4495,2016
FRANKLIN ,49,408,182,39,5,683,2016
GASTON ,35,1592,734,146,17,2524,2016
GATES ,2,77,23,6,3,111,2016
GRAHAM ,2,65,12,3,2,84,2016
GRANVILLE ,26,351,151,36,6,570,2016
GREENE ,3,162,27,10,5,207,2016
GUILFORD ,54,3872,1886,412,34,6258,2016
HALIFAX ,9,389,118,39,4,559,2016
HARNETT ,29,1318,392,109,13,1861,2016
HAYWOOD ,8,490,89,22,7,616,2016
HENDERSON ,17,883,149,23,17,1089,2016
HERTFORD ,3,175,34,10,1,223,2016
HOKE ,14,696,187,35,3,935,2016
HYDE ,0,32,5,2,0,39,2016
IREDELL ,33,1247,530,109,5,1924,2016
JACKSON ,8,291,61,26,6,392,2016
JOHNSTON ,30,1665,558,65,18,2336,2016
JONES ,4,54,19,5,1,83,2016
LEE ,18,475,240,56,21,810,2016
LENOIR ,13,472,129,21,12,647,2016
LINCOLN ,6,591,177,35,0,809,2016
MCDOWELL ,8,373,50,12,1,444,2016
MACON ,4,264,53,7,5,333,2016
MADISON ,3,172,16,2,3,196,2016
MARTIN ,4,187,41,3,2,237,2016
MECKLENBURG ,330,9887,3601,1009,49,14876,2016
MITCHELL ,0,111,25,2,3,141,2016
MONTGOMERY ,7,189,85,13,2,296,2016
MOORE ,16,791,267,53,5,1132,2016
NASH ,24,646,267,72,7,1016,2016
NEW HANOVER ,30,1497,606,92,16,2241,2016
NORTHAMPTON ,4,150,34,11,1,200,2016
ONSLOW ,76,2987,620,242,34,3959,2016
ORANGE ,15,862,227,45,17,1166,2016
PAMLICO ,0,68,23,7,0,98,2016
PASQUOTANK ,9,296,139,31,4,479,2016
PENDER ,10,416,177,42,6,651,2016
PERQUIMANS ,0,95,25,1,1,122,2016
PERSON ,7,250,110,29,5,401,2016
PITT ,22,1671,254,52,24,2023,2016
POLK ,5,88,20,2,25,140,2016
RANDOLPH ,22,991,479,98,10,1600,2016
RICHMOND ,7,293,172,41,5,518,2016
ROBESON ,43,985,588,120,39,1775,2016
ROCKINGHAM ,9,730,166,31,1,937,2016
ROWAN ,41,1028,474,106,1,1650,2016
RUTHERFORD ,11,466,142,20,20,659,2016
SAMPSON ,11,560,188,63,9,831,2016
SCOTLAND ,10,327,99,18,1,455,2016
STANLY ,8,502,153,26,1,690,2016
STOKES ,5,299,61,13,2,380,2016
SURRY ,10,546,123,39,5,723,2016
SWAIN ,5,123,23,16,2,169,2016
TRANSYLVANIA ,6,221,27,3,6,263,2016
TYRRELL ,0,36,13,1,1,51,2016
UNION ,21,1644,600,139,12,2416,2016
VANCE ,44,294,136,48,8,530,2016
WAKE ,172,8601,3370,800,76,13019,2016
WARREN ,9,122,37,8,1,177,2016
WASHINGTON ,0,97,22,7,0,126,2016
WATAUGA ,6,296,53,10,2,367,2016
WAYNE ,28,1106,390,105,7,1636,2016
WILKES ,10,508,139,33,1,691,2016
WILSON ,19,666,239,36,4,964,2016
YADKIN ,5,272,98,17,0,392,2016
YANCEY ,0,139,13,2,0,154,2016
