Counties,White_Non_Hispanic,African_American_Non_Hispanic,Other_Non_Hispanic,Hispanic,Total_Race,Year
ALAMANCE ,983,448,41,391,1863,2019
ALEXANDER ,309,15,10,23,357,2019
ALLEGHANY ,62,0,1,16,79,2019
ANSON ,97,141,6,10,254,2019
ASHE ,180,3,1,20,204,2019
AVERY ,118,0,1,16,135,2019
BEAUFORT ,225,132,4,72,433,2019
BERTIE ,54,103,1,3,161,2019
BLADEN ,170,106,13,55,344,2019
BRUNSWICK ,738,135,30,123,1026,2019
BUNCOMBE ,1870,202,68,324,2464,2019
BURKE ,649,48,78,115,890,2019
CABARRUS ,1371,507,198,461,2537,2019
CALDWELL ,735,62,10,75,882,2019
CAMDEN ,87,11,1,5,104,2019
CARTERET ,445,25,8,43,521,2019
CASWELL ,135,55,4,15,209,2019
CATAWBA ,1080,173,143,291,1687,2019
CHATHAM ,383,65,19,142,609,2019
CHEROKEE ,225,4,5,11,245,2019
CHOWAN ,69,44,0,10,123,2019
CLAY ,75,0,3,8,86,2019
CLEVELAND ,786,273,14,73,1146,2019
COLUMBUS ,327,165,30,40,562,2019
CRAVEN ,815,285,70,149,1319,2019
CUMBERLAND ,2155,2154,308,845,5462,2019
CURRITUCK ,221,19,3,16,259,2019
DARE ,245,7,8,50,310,2019
DAVIDSON ,1319,222,38,196,1775,2019
DAVIE ,313,31,4,54,402,2019
DUPLIN ,300,174,4,240,718,2019
DURHAM ,1559,1336,288,975,4158,2019
EDGECOMBE ,163,359,4,46,572,2019
FORSYTH ,1988,1330,154,938,4410,2019
FRANKLIN ,446,187,14,123,770,2019
GASTON ,1598,605,58,338,2599,2019
GATES ,67,25,1,4,97,2019
GRAHAM ,82,1,11,3,97,2019
GRANVILLE ,293,191,4,80,568,2019
GREENE ,86,79,1,59,225,2019
GUILFORD ,2131,2530,518,866,6045,2019
HALIFAX ,190,307,22,18,537,2019
HARNETT ,1104,387,59,310,1860,2019
HAYWOOD ,483,8,10,24,525,2019
HENDERSON ,752,33,25,212,1022,2019
HERTFORD ,54,131,1,9,195,2019
HOKE ,397,227,90,153,867,2019
HYDE ,20,10,0,7,37,2019
IREDELL ,1303,279,79,223,1884,2019
JACKSON ,275,3,56,38,372,2019
JOHNSTON ,1467,477,52,526,2522,2019
JONES ,59,21,3,9,92,2019
LEE ,372,164,16,229,781,2019
LENOIR ,246,296,8,69,619,2019
LINCOLN ,703,50,22,96,871,2019
MCDOWELL ,377,9,4,44,434,2019
MACON ,239,3,5,71,318,2019
MADISON ,173,1,1,6,181,2019
MARTIN ,104,103,0,14,221,2019
MECKLENBURG ,5428,4506,1342,3122,14398,2019
MITCHELL ,111,0,2,14,127,2019
MONTGOMERY ,143,51,11,73,278,2019
MOORE ,853,132,46,116,1147,2019
NASH ,409,531,32,129,1101,2019
NEW HANOVER ,1462,380,54,276,2172,2019
NORTHAMPTON ,57,99,3,6,165,2019
ONSLOW ,2565,505,133,618,3821,2019
ORANGE ,693,167,125,179,1164,2019
PAMLICO ,54,11,3,5,73,2019
PASQUOTANK ,255,176,5,38,474,2019
PENDER ,437,96,10,81,624,2019
PERQUIMANS ,83,32,3,0,118,2019
PERSON ,258,136,8,33,435,2019
PITT ,900,958,44,177,2079,2019
POLK ,143,3,2,18,166,2019
RANDOLPH ,1080,102,44,320,1546,2019
RICHMOND ,285,191,26,59,561,2019
ROBESON ,326,350,808,247,1731,2019
ROCKINGHAM ,614,183,10,78,885,2019
ROWAN ,971,286,36,255,1548,2019
RUTHERFORD ,537,89,6,48,680,2019
SAMPSON ,296,175,14,242,727,2019
SCOTLAND ,141,199,87,15,442,2019
STANLY ,517,76,23,52,668,2019
STOKES ,342,12,1,15,370,2019
SURRY ,572,35,7,152,766,2019
SWAIN ,99,3,61,18,181,2019
TRANSYLVANIA ,231,13,3,15,262,2019
TYRRELL ,15,11,0,4,30,2019
UNION ,1465,306,80,428,2279,2019
VANCE ,162,318,13,77,570,2019
WAKE ,6314,2915,1368,2092,12689,2019
WARREN ,40,86,9,10,145,2019
WASHINGTON ,34,91,0,7,132,2019
WATAUGA ,275,4,8,26,313,2019
WAYNE ,729,514,38,338,1619,2019
WILKES ,554,35,3,77,669,2019
WILSON ,357,427,22,170,976,2019
YADKIN ,291,9,3,72,375,2019
YANCEY ,156,1,0,17,174,2019
