Counties,None_Care,First_Trimester,Second_Trimester,Third_Trimester,Unknown_Care,Total_Care,Year
ALAMANCE ,44,1237,522,130,25,1958,2018
ALEXANDER ,7,260,57,14,6,344,2018
ALLEGHANY ,1,63,15,12,0,91,2018
ANSON ,8,155,71,26,3,263,2018
ASHE ,1,147,42,6,3,199,2018
AVERY ,1,125,25,12,0,163,2018
BEAUFORT ,1,305,93,17,0,416,2018
BERTIE ,1,134,37,7,0,179,2018
BLADEN ,9,217,108,30,7,371,2018
BRUNSWICK ,19,662,219,49,38,987,2018
BUNCOMBE ,37,2130,259,37,19,2482,2018
BURKE ,14,640,176,29,4,863,2018
CABARRUS ,28,1715,622,129,15,2509,2018
CALDWELL ,13,547,162,53,2,777,2018
CAMDEN ,0,81,14,2,1,98,2018
CARTERET ,9,388,77,26,1,501,2018
CASWELL ,7,138,50,16,7,218,2018
CATAWBA ,38,1298,284,64,9,1693,2018
CHATHAM ,10,475,133,21,11,650,2018
CHEROKEE ,5,194,43,16,0,258,2018
CHOWAN ,1,103,34,5,0,143,2018
CLAY ,0,67,13,1,2,83,2018
CLEVELAND ,26,745,311,66,14,1162,2018
COLUMBUS ,13,327,116,28,82,566,2018
CRAVEN ,18,966,267,81,5,1337,2018
CUMBERLAND ,72,3902,1181,225,22,5402,2018
CURRITUCK ,4,212,37,10,0,263,2018
DARE ,1,256,51,4,6,318,2018
DAVIDSON ,49,1244,373,79,6,1751,2018
DAVIE ,4,298,79,17,0,398,2018
DUPLIN ,19,426,214,38,10,707,2018
DURHAM ,59,2960,882,220,30,4151,2018
EDGECOMBE ,17,336,195,45,0,593,2018
FORSYTH ,43,3104,922,217,44,4330,2018
FRANKLIN ,46,423,165,47,16,697,2018
GASTON ,55,1677,627,154,13,2526,2018
GATES ,2,71,16,4,1,94,2018
GRAHAM ,3,58,13,4,0,78,2018
GRANVILLE ,26,369,152,39,4,590,2018
GREENE ,7,140,48,6,5,206,2018
GUILFORD ,119,3680,1731,561,24,6115,2018
HALIFAX ,8,367,126,26,10,537,2018
HARNETT ,71,1218,422,109,25,1845,2018
HAYWOOD ,6,436,86,13,0,541,2018
HENDERSON ,12,877,156,35,13,1093,2018
HERTFORD ,5,176,43,5,1,230,2018
HOKE ,15,598,182,46,5,846,2018
HYDE ,1,25,8,1,0,35,2018
IREDELL ,33,1298,448,104,8,1891,2018
JACKSON ,16,257,71,17,5,366,2018
JOHNSTON ,33,1629,533,94,10,2299,2018
JONES ,2,57,25,4,0,88,2018
LEE ,10,473,233,54,22,792,2018
LENOIR ,14,420,140,46,4,624,2018
LINCOLN ,12,596,196,49,3,856,2018
MCDOWELL ,6,355,41,15,1,418,2018
MACON ,4,237,63,16,2,322,2018
MADISON ,5,192,19,3,2,221,2018
MARTIN ,7,198,34,7,1,247,2018
MECKLENBURG ,333,9175,3994,1088,61,14651,2018
MITCHELL ,1,118,21,7,2,149,2018
MONTGOMERY ,1,179,77,20,1,278,2018
MOORE ,19,768,313,63,5,1168,2018
NASH ,25,698,259,60,4,1046,2018
NEW HANOVER ,32,1428,568,104,14,2146,2018
NORTHAMPTON ,2,127,33,7,2,171,2018
ONSLOW ,65,2722,792,322,22,3923,2018
ORANGE ,14,804,250,41,25,1134,2018
PAMLICO ,3,62,20,5,0,90,2018
PASQUOTANK ,7,319,104,21,3,454,2018
PENDER ,7,427,143,37,9,623,2018
PERQUIMANS ,3,90,25,1,2,121,2018
PERSON ,10,258,96,22,14,400,2018
PITT ,29,1639,346,61,10,2085,2018
POLK ,1,102,23,8,15,149,2018
RANDOLPH ,35,945,412,111,17,1520,2018
RICHMOND ,13,319,188,32,3,555,2018
ROBESON ,46,704,539,161,249,1699,2018
ROCKINGHAM ,13,685,167,47,1,913,2018
ROWAN ,48,986,467,89,3,1593,2018
RUTHERFORD ,15,461,130,18,30,654,2018
SAMPSON ,22,556,207,43,6,834,2018
SCOTLAND ,14,276,119,27,7,443,2018
STANLY ,11,477,154,30,4,676,2018
STOKES ,3,294,81,14,4,396,2018
SURRY ,6,557,144,47,3,757,2018
SWAIN ,5,97,28,10,1,141,2018
TRANSYLVANIA ,7,229,34,6,2,278,2018
TYRRELL ,2,27,4,1,0,34,2018
UNION ,35,1592,694,126,8,2455,2018
VANCE ,31,324,141,61,5,562,2018
WAKE ,218,8624,2773,860,105,12580,2018
WARREN ,6,100,37,15,1,159,2018
WASHINGTON ,3,93,30,3,0,129,2018
WATAUGA ,7,274,52,15,6,354,2018
WAYNE ,24,1111,384,113,6,1638,2018
WILKES ,16,466,164,43,7,696,2018
WILSON ,12,668,243,51,2,976,2018
YADKIN ,5,245,92,20,1,363,2018
YANCEY ,2,155,19,6,1,183,2018
