Counties,Singleton,Twins,Other_Multiples,Unknown_plural,Total_plural,Year
ALAMANCE ,1890,68,0,0,1958,2018
ALEXANDER ,338,6,0,0,344,2018
ALLEGHANY ,85,6,0,0,91,2018
ANSON ,249,14,0,0,263,2018
ASHE ,193,6,0,0,199,2018
AVERY ,157,6,0,0,163,2018
BEAUFORT ,410,6,0,0,416,2018
BERTIE ,169,10,0,0,179,2018
BLADEN ,355,16,0,0,371,2018
BRUNSWICK ,960,27,0,0,987,2018
BUNCOMBE ,2411,71,0,0,2482,2018
BURKE ,836,27,0,0,863,2018
CABARRUS ,2419,84,6,0,2509,2018
CALDWELL ,751,26,0,0,777,2018
CAMDEN ,96,2,0,0,98,2018
CARTERET ,487,14,0,0,501,2018
CASWELL ,200,18,0,0,218,2018
CATAWBA ,1655,38,0,0,1693,2018
CHATHAM ,622,25,3,0,650,2018
CHEROKEE ,250,8,0,0,258,2018
CHOWAN ,138,2,3,0,143,2018
CLAY ,81,2,0,0,83,2018
CLEVELAND ,1115,44,3,0,1162,2018
COLUMBUS ,554,12,0,0,566,2018
CRAVEN ,1293,38,6,0,1337,2018
CUMBERLAND ,5218,178,6,0,5402,2018
CURRITUCK ,253,7,3,0,263,2018
DARE ,312,6,0,0,318,2018
DAVIDSON ,1705,46,0,0,1751,2018
DAVIE ,386,12,0,0,398,2018
DUPLIN ,681,26,0,0,707,2018
DURHAM ,4004,132,15,0,4151,2018
EDGECOMBE ,580,13,0,0,593,2018
FORSYTH ,4176,148,6,0,4330,2018
FRANKLIN ,655,39,3,0,697,2018
GASTON ,2440,86,0,0,2526,2018
GATES ,90,4,0,0,94,2018
GRAHAM ,78,0,0,0,78,2018
GRANVILLE ,578,12,0,0,590,2018
GREENE ,200,6,0,0,206,2018
GUILFORD ,5884,225,6,0,6115,2018
HALIFAX ,519,18,0,0,537,2018
HARNETT ,1781,64,0,0,1845,2018
HAYWOOD ,533,8,0,0,541,2018
HENDERSON ,1065,28,0,0,1093,2018
HERTFORD ,226,4,0,0,230,2018
HOKE ,825,21,0,0,846,2018
HYDE ,33,2,0,0,35,2018
IREDELL ,1830,58,3,0,1891,2018
JACKSON ,358,8,0,0,366,2018
JOHNSTON ,2230,69,0,0,2299,2018
JONES ,84,4,0,0,88,2018
LEE ,769,23,0,0,792,2018
LENOIR ,598,26,0,0,624,2018
LINCOLN ,830,24,2,0,856,2018
MCDOWELL ,400,18,0,0,418,2018
MACON ,316,6,0,0,322,2018
MADISON ,219,2,0,0,221,2018
MARTIN ,233,14,0,0,247,2018
MECKLENBURG ,14110,522,19,0,14651,2018
MITCHELL ,149,0,0,0,149,2018
MONTGOMERY ,271,7,0,0,278,2018
MOORE ,1117,48,3,0,1168,2018
NASH ,1007,39,0,0,1046,2018
NEW HANOVER ,2088,55,3,0,2146,2018
NORTHAMPTON ,171,0,0,0,171,2018
ONSLOW ,3810,113,0,0,3923,2018
ORANGE ,1103,31,0,0,1134,2018
PAMLICO ,86,4,0,0,90,2018
PASQUOTANK ,441,13,0,0,454,2018
PENDER ,598,22,3,0,623,2018
PERQUIMANS ,119,2,0,0,121,2018
PERSON ,383,14,3,0,400,2018
PITT ,2005,74,6,0,2085,2018
POLK ,149,0,0,0,149,2018
RANDOLPH ,1470,50,0,0,1520,2018
RICHMOND ,526,26,3,0,555,2018
ROBESON ,1631,62,6,0,1699,2018
ROCKINGHAM ,882,28,3,0,913,2018
ROWAN ,1541,52,0,0,1593,2018
RUTHERFORD ,631,23,0,0,654,2018
SAMPSON ,805,29,0,0,834,2018
SCOTLAND ,433,10,0,0,443,2018
STANLY ,649,27,0,0,676,2018
STOKES ,386,10,0,0,396,2018
SURRY ,733,24,0,0,757,2018
SWAIN ,139,2,0,0,141,2018
TRANSYLVANIA ,273,5,0,0,278,2018
TYRRELL ,34,0,0,0,34,2018
UNION ,2383,69,3,0,2455,2018
VANCE ,538,24,0,0,562,2018
WAKE ,12130,441,9,0,12580,2018
WARREN ,155,4,0,0,159,2018
WASHINGTON ,127,2,0,0,129,2018
WATAUGA ,336,18,0,0,354,2018
WAYNE ,1592,46,0,0,1638,2018
WILKES ,676,20,0,0,696,2018
WILSON ,943,30,3,0,976,2018
YADKIN ,353,10,0,0,363,2018
YANCEY ,176,4,3,0,183,2018
