Counties,0 - 499 gms,500 - 1499 gms,1500 - 2499 gms,2500 - 8165 gms,Unknown,Total,Year
ALAMANCE ,4,32,146,1776,0,1958,2018
ALEXANDER ,0,3,27,314,0,344,2018
ALLEGHANY ,0,2,6,83,0,91,2018
ANSON ,1,5,37,220,0,263,2018
ASHE ,0,2,13,184,0,199,2018
AVERY ,0,2,17,143,1,163,2018
BEAUFORT ,2,2,33,379,0,416,2018
BERTIE ,0,3,18,158,0,179,2018
BLADEN ,0,4,36,331,0,371,2018
BRUNSWICK ,5,13,73,896,0,987,2018
BUNCOMBE ,4,19,195,2263,1,2482,2018
BURKE ,3,12,71,774,3,863,2018
CABARRUS ,5,28,191,2285,0,2509,2018
CALDWELL ,1,10,49,717,0,777,2018
CAMDEN ,0,1,6,91,0,98,2018
CARTERET ,1,5,32,463,0,501,2018
CASWELL ,1,5,23,189,0,218,2018
CATAWBA ,2,24,98,1569,0,1693,2018
CHATHAM ,1,11,49,589,0,650,2018
CHEROKEE ,0,4,16,238,0,258,2018
CHOWAN ,1,5,12,125,0,143,2018
CLAY ,0,1,4,78,0,83,2018
CLEVELAND ,1,16,106,1039,0,1162,2018
COLUMBUS ,1,8,63,494,0,566,2018
CRAVEN ,2,13,102,1220,0,1337,2018
CUMBERLAND ,13,104,419,4866,0,5402,2018
CURRITUCK ,0,5,24,234,0,263,2018
DARE ,0,2,7,309,0,318,2018
DAVIDSON ,3,25,139,1584,0,1751,2018
DAVIE ,0,5,29,364,0,398,2018
DUPLIN ,1,6,42,658,0,707,2018
DURHAM ,7,63,292,3788,1,4151,2018
EDGECOMBE ,0,7,62,523,1,593,2018
FORSYTH ,17,78,357,3877,1,4330,2018
FRANKLIN ,0,9,63,624,1,697,2018
GASTON ,3,39,192,2292,0,2526,2018
GATES ,0,3,5,86,0,94,2018
GRAHAM ,0,0,5,73,0,78,2018
GRANVILLE ,0,10,47,533,0,590,2018
GREENE ,3,1,17,185,0,206,2018
GUILFORD ,7,89,496,5519,4,6115,2018
HALIFAX ,4,17,49,467,0,537,2018
HARNETT ,6,25,137,1677,0,1845,2018
HAYWOOD ,0,2,48,491,0,541,2018
HENDERSON ,1,10,88,994,0,1093,2018
HERTFORD ,1,6,13,210,0,230,2018
HOKE ,2,16,49,779,0,846,2018
HYDE ,0,0,2,33,0,35,2018
IREDELL ,3,25,158,1705,0,1891,2018
JACKSON ,1,3,36,326,0,366,2018
JOHNSTON ,4,27,174,2094,0,2299,2018
JONES ,0,4,2,82,0,88,2018
LEE ,1,19,62,710,0,792,2018
LENOIR ,2,11,67,544,0,624,2018
LINCOLN ,0,13,62,779,2,856,2018
MCDOWELL ,0,4,44,369,1,418,2018
MACON ,0,3,25,294,0,322,2018
MADISON ,0,1,19,201,0,221,2018
MARTIN ,1,6,20,220,0,247,2018
MECKLENBURG ,31,212,1179,13224,5,14651,2018
MITCHELL ,0,0,9,140,0,149,2018
MONTGOMERY ,1,6,20,251,0,278,2018
MOORE ,3,13,81,1071,0,1168,2018
NASH ,1,18,91,936,0,1046,2018
NEW HANOVER ,6,25,156,1959,0,2146,2018
NORTHAMPTON ,1,0,13,157,0,171,2018
ONSLOW ,7,35,208,3673,0,3923,2018
ORANGE ,0,17,81,1036,0,1134,2018
PAMLICO ,0,1,5,84,0,90,2018
PASQUOTANK ,2,4,42,406,0,454,2018
PENDER ,2,8,42,571,0,623,2018
PERQUIMANS ,0,0,6,115,0,121,2018
PERSON ,0,8,43,349,0,400,2018
PITT ,8,49,184,1844,0,2085,2018
POLK ,1,2,8,138,0,149,2018
RANDOLPH ,2,21,101,1396,0,1520,2018
RICHMOND ,0,11,52,491,1,555,2018
ROBESON ,6,35,162,1496,0,1699,2018
ROCKINGHAM ,2,11,71,829,0,913,2018
ROWAN ,1,33,142,1417,0,1593,2018
RUTHERFORD ,2,5,52,595,0,654,2018
SAMPSON ,0,15,61,758,0,834,2018
SCOTLAND ,1,11,62,369,0,443,2018
STANLY ,1,14,59,602,0,676,2018
STOKES ,1,2,33,360,0,396,2018
SURRY ,0,9,62,685,1,757,2018
SWAIN ,0,2,10,129,0,141,2018
TRANSYLVANIA ,0,4,24,250,0,278,2018
TYRRELL ,0,0,1,33,0,34,2018
UNION ,5,31,154,2264,1,2455,2018
VANCE ,1,11,58,492,0,562,2018
WAKE ,30,153,772,11620,5,12580,2018
WARREN ,0,3,14,142,0,159,2018
WASHINGTON ,2,1,10,116,0,129,2018
WATAUGA ,1,0,32,321,0,354,2018
WAYNE ,5,26,115,1492,0,1638,2018
WILKES ,0,12,40,644,0,696,2018
WILSON ,2,13,103,858,0,976,2018
YADKIN ,0,3,35,325,0,363,2018
YANCEY ,0,4,16,163,0,183,2018
