Counties,male,female,unknown_gender,Total_gender,Year
ALAMANCE ,953,909,1,1863,2019
ALEXANDER ,189,168,0,357,2019
ALLEGHANY ,47,32,0,79,2019
ANSON ,113,141,0,254,2019
ASHE ,99,105,0,204,2019
AVERY ,62,73,0,135,2019
BEAUFORT ,214,219,0,433,2019
BERTIE ,84,76,1,161,2019
BLADEN ,172,172,0,344,2019
BRUNSWICK ,503,523,0,1026,2019
BUNCOMBE ,1244,1220,0,2464,2019
BURKE ,439,451,0,890,2019
CABARRUS ,1352,1185,0,2537,2019
CALDWELL ,448,434,0,882,2019
CAMDEN ,57,47,0,104,2019
CARTERET ,270,251,0,521,2019
CASWELL ,102,107,0,209,2019
CATAWBA ,855,832,0,1687,2019
CHATHAM ,326,283,0,609,2019
CHEROKEE ,142,103,0,245,2019
CHOWAN ,55,68,0,123,2019
CLAY ,46,40,0,86,2019
CLEVELAND ,598,548,0,1146,2019
COLUMBUS ,284,278,0,562,2019
CRAVEN ,665,654,0,1319,2019
CUMBERLAND ,2801,2661,0,5462,2019
CURRITUCK ,131,128,0,259,2019
DARE ,151,159,0,310,2019
DAVIDSON ,882,893,0,1775,2019
DAVIE ,218,184,0,402,2019
DUPLIN ,382,336,0,718,2019
DURHAM ,2096,2062,0,4158,2019
EDGECOMBE ,308,264,0,572,2019
FORSYTH ,2235,2175,0,4410,2019
FRANKLIN ,371,399,0,770,2019
GASTON ,1357,1242,0,2599,2019
GATES ,51,46,0,97,2019
GRAHAM ,51,46,0,97,2019
GRANVILLE ,296,272,0,568,2019
GREENE ,100,125,0,225,2019
GUILFORD ,3053,2992,0,6045,2019
HALIFAX ,264,273,0,537,2019
HARNETT ,966,894,0,1860,2019
HAYWOOD ,265,260,0,525,2019
HENDERSON ,489,533,0,1022,2019
HERTFORD ,96,99,0,195,2019
HOKE ,452,415,0,867,2019
HYDE ,19,18,0,37,2019
IREDELL ,971,913,0,1884,2019
JACKSON ,187,185,0,372,2019
JOHNSTON ,1301,1221,0,2522,2019
JONES ,49,43,0,92,2019
LEE ,427,354,0,781,2019
LENOIR ,313,306,0,619,2019
LINCOLN ,436,435,0,871,2019
MCDOWELL ,220,214,0,434,2019
MACON ,176,142,0,318,2019
MADISON ,91,90,0,181,2019
MARTIN ,111,110,0,221,2019
MECKLENBURG ,7346,7051,1,14398,2019
MITCHELL ,66,61,0,127,2019
MONTGOMERY ,135,143,0,278,2019
MOORE ,580,567,0,1147,2019
NASH ,539,562,0,1101,2019
NEW HANOVER ,1108,1064,0,2172,2019
NORTHAMPTON ,90,75,0,165,2019
ONSLOW ,1931,1890,0,3821,2019
ORANGE ,591,573,0,1164,2019
PAMLICO ,33,40,0,73,2019
PASQUOTANK ,231,243,0,474,2019
PENDER ,338,286,0,624,2019
PERQUIMANS ,58,60,0,118,2019
PERSON ,237,198,0,435,2019
PITT ,1087,992,0,2079,2019
POLK ,90,76,0,166,2019
RANDOLPH ,791,755,0,1546,2019
RICHMOND ,279,282,0,561,2019
ROBESON ,865,866,0,1731,2019
ROCKINGHAM ,465,420,0,885,2019
ROWAN ,761,787,0,1548,2019
RUTHERFORD ,352,328,0,680,2019
SAMPSON ,376,351,0,727,2019
SCOTLAND ,229,213,0,442,2019
STANLY ,329,339,0,668,2019
STOKES ,178,192,0,370,2019
SURRY ,392,374,0,766,2019
SWAIN ,107,74,0,181,2019
TRANSYLVANIA ,127,135,0,262,2019
TYRRELL ,15,15,0,30,2019
UNION ,1134,1145,0,2279,2019
VANCE ,292,278,0,570,2019
WAKE ,6536,6153,0,12689,2019
WARREN ,82,63,0,145,2019
WASHINGTON ,74,58,0,132,2019
WATAUGA ,170,143,0,313,2019
WAYNE ,816,803,0,1619,2019
WILKES ,340,329,0,669,2019
WILSON ,514,462,0,976,2019
YADKIN ,185,190,0,375,2019
YANCEY ,100,74,0,174,2019
