Counties,Singleton,Twins,Other_Multiples,Unknown_plural,Total_plural,Year
ALAMANCE ,1872,67,0,0,1939,2017
ALEXANDER ,365,12,0,0,377,2017
ALLEGHANY ,98,4,0,0,102,2017
ANSON ,242,14,0,0,256,2017
ASHE ,210,6,0,0,216,2017
AVERY ,105,4,0,0,109,2017
BEAUFORT ,443,27,0,0,470,2017
BERTIE ,165,6,0,0,171,2017
BLADEN ,316,9,0,0,325,2017
BRUNSWICK ,975,32,0,0,1007,2017
BUNCOMBE ,2338,45,9,0,2392,2017
BURKE ,895,32,0,0,927,2017
CABARRUS ,2480,113,0,0,2593,2017
CALDWELL ,757,26,0,0,783,2017
CAMDEN ,87,2,0,0,89,2017
CARTERET ,545,22,0,0,567,2017
CASWELL ,198,6,0,0,204,2017
CATAWBA ,1604,48,0,0,1652,2017
CHATHAM ,645,18,0,0,663,2017
CHEROKEE ,215,6,0,0,221,2017
CHOWAN ,126,8,0,0,134,2017
CLAY ,89,0,0,0,89,2017
CLEVELAND ,1033,32,0,0,1065,2017
COLUMBUS ,560,18,0,0,578,2017
CRAVEN ,1340,46,0,0,1386,2017
CUMBERLAND ,5296,201,9,0,5506,2017
CURRITUCK ,248,6,3,0,257,2017
DARE ,335,9,0,0,344,2017
DAVIDSON ,1688,74,0,0,1762,2017
DAVIE ,359,10,0,0,369,2017
DUPLIN ,628,22,3,0,653,2017
DURHAM ,3991,185,6,0,4182,2017
EDGECOMBE ,601,30,0,0,631,2017
FORSYTH ,4188,184,0,0,4372,2017
FRANKLIN ,684,35,0,0,719,2017
GASTON ,2501,87,0,0,2588,2017
GATES ,96,4,0,0,100,2017
GRAHAM ,74,4,0,0,78,2017
GRANVILLE ,591,8,0,0,599,2017
GREENE ,205,0,0,0,205,2017
GUILFORD ,5975,228,15,0,6218,2017
HALIFAX ,571,22,0,0,593,2017
HARNETT ,1821,62,3,0,1886,2017
HAYWOOD ,603,14,0,0,617,2017
HENDERSON ,1021,16,3,0,1040,2017
HERTFORD ,224,6,0,0,230,2017
HOKE ,851,29,0,0,880,2017
HYDE ,34,0,0,0,34,2017
IREDELL ,1798,59,0,0,1857,2017
JACKSON ,367,5,0,0,372,2017
JOHNSTON ,2226,89,3,0,2318,2017
JONES ,106,0,0,0,106,2017
LEE ,733,26,0,0,759,2017
LENOIR ,592,24,0,0,616,2017
LINCOLN ,780,26,0,0,806,2017
MCDOWELL ,437,20,0,0,457,2017
MACON ,333,6,0,0,339,2017
MADISON ,167,10,0,0,177,2017
MARTIN ,238,10,0,0,248,2017
MECKLENBURG ,14179,558,9,0,14746,2017
MITCHELL ,135,0,0,0,135,2017
MONTGOMERY ,260,10,0,0,270,2017
MOORE ,1060,46,3,0,1109,2017
NASH ,1068,42,0,0,1110,2017
NEW HANOVER ,2193,63,10,0,2266,2017
NORTHAMPTON ,191,9,0,0,200,2017
ONSLOW ,3924,133,3,0,4060,2017
ORANGE ,1141,38,0,0,1179,2017
PAMLICO ,71,2,0,0,73,2017
PASQUOTANK ,475,17,0,0,492,2017
PENDER ,632,26,0,0,658,2017
PERQUIMANS ,124,0,0,0,124,2017
PERSON ,419,20,4,0,443,2017
PITT ,1972,70,9,0,2051,2017
POLK ,155,6,0,0,161,2017
RANDOLPH ,1517,56,3,0,1576,2017
RICHMOND ,546,28,0,0,574,2017
ROBESON ,1711,71,0,0,1782,2017
ROCKINGHAM ,824,33,3,0,860,2017
ROWAN ,1529,59,0,0,1588,2017
RUTHERFORD ,678,11,0,0,689,2017
SAMPSON ,812,19,0,0,831,2017
SCOTLAND ,441,14,0,0,455,2017
STANLY ,700,32,0,0,732,2017
STOKES ,392,12,0,0,404,2017
SURRY ,718,20,0,0,738,2017
SWAIN ,148,4,0,0,152,2017
TRANSYLVANIA ,245,7,0,0,252,2017
TYRRELL ,36,2,0,0,38,2017
UNION ,2302,71,9,0,2382,2017
VANCE ,564,20,0,0,584,2017
WAKE ,12199,472,12,0,12683,2017
WARREN ,172,4,0,0,176,2017
WASHINGTON ,128,6,0,0,134,2017
WATAUGA ,382,16,0,0,398,2017
WAYNE ,1553,58,0,0,1611,2017
WILKES ,633,16,0,0,649,2017
WILSON ,898,38,3,0,939,2017
YADKIN ,376,16,0,0,392,2017
YANCEY ,170,0,0,0,170,2017
