Counties,0 - 499 gms,500 - 1499 gms,1500 - 2499 gms,2500 - 8165 gms,Unknown,Total,Year
ALAMANCE ,3,27,131,1777,1,1939,2017
ALEXANDER ,1,3,28,345,0,377,2017
ALLEGHANY ,0,3,6,93,0,102,2017
ANSON ,1,6,31,218,0,256,2017
ASHE ,2,2,17,194,1,216,2017
AVERY ,0,0,11,98,0,109,2017
BEAUFORT ,3,7,48,412,0,470,2017
BERTIE ,2,3,18,148,0,171,2017
BLADEN ,1,6,28,290,0,325,2017
BRUNSWICK ,2,9,80,916,0,1007,2017
BUNCOMBE ,3,26,181,2182,0,2392,2017
BURKE ,0,20,64,843,0,927,2017
CABARRUS ,5,29,183,2376,0,2593,2017
CALDWELL ,2,8,72,700,1,783,2017
CAMDEN ,0,0,7,82,0,89,2017
CARTERET ,0,8,33,526,0,567,2017
CASWELL ,0,6,15,183,0,204,2017
CATAWBA ,3,28,116,1505,0,1652,2017
CHATHAM ,1,10,48,603,1,663,2017
CHEROKEE ,1,4,10,206,0,221,2017
CHOWAN ,0,0,13,121,0,134,2017
CLAY ,1,1,6,81,0,89,2017
CLEVELAND ,1,19,102,943,0,1065,2017
COLUMBUS ,4,13,51,510,0,578,2017
CRAVEN ,3,23,92,1268,0,1386,2017
CUMBERLAND ,26,91,432,4957,0,5506,2017
CURRITUCK ,0,8,15,234,0,257,2017
DARE ,0,6,21,317,0,344,2017
DAVIDSON ,2,23,159,1578,0,1762,2017
DAVIE ,0,3,29,337,0,369,2017
DUPLIN ,0,10,50,591,2,653,2017
DURHAM ,6,66,305,3801,4,4182,2017
EDGECOMBE ,3,16,66,546,0,631,2017
FORSYTH ,15,73,411,3873,0,4372,2017
FRANKLIN ,1,11,59,648,0,719,2017
GASTON ,8,33,206,2341,0,2588,2017
GATES ,1,2,12,85,0,100,2017
GRAHAM ,0,4,4,70,0,78,2017
GRANVILLE ,1,12,44,542,0,599,2017
GREENE ,0,2,18,185,0,205,2017
GUILFORD ,17,114,516,5569,2,6218,2017
HALIFAX ,3,10,65,515,0,593,2017
HARNETT ,4,20,130,1730,2,1886,2017
HAYWOOD ,0,6,51,560,0,617,2017
HENDERSON ,0,18,60,962,0,1040,2017
HERTFORD ,0,6,14,210,0,230,2017
HOKE ,3,12,81,784,0,880,2017
HYDE ,0,0,2,32,0,34,2017
IREDELL ,4,21,149,1682,1,1857,2017
JACKSON ,1,7,28,336,0,372,2017
JOHNSTON ,6,32,151,2128,1,2318,2017
JONES ,0,1,6,99,0,106,2017
LEE ,1,8,67,680,3,759,2017
LENOIR ,3,7,47,559,0,616,2017
LINCOLN ,2,9,56,739,0,806,2017
MCDOWELL ,0,11,43,403,0,457,2017
MACON ,0,6,23,310,0,339,2017
MADISON ,0,3,17,157,0,177,2017
MARTIN ,0,10,30,208,0,248,2017
MECKLENBURG ,22,204,1200,13319,1,14746,2017
MITCHELL ,0,3,12,119,1,135,2017
MONTGOMERY ,0,3,35,232,0,270,2017
MOORE ,3,17,83,1006,0,1109,2017
NASH ,3,22,78,1007,0,1110,2017
NEW HANOVER ,9,32,160,2064,1,2266,2017
NORTHAMPTON ,0,7,23,170,0,200,2017
ONSLOW ,6,39,240,3775,0,4060,2017
ORANGE ,1,11,73,1094,0,1179,2017
PAMLICO ,0,2,7,64,0,73,2017
PASQUOTANK ,0,10,33,449,0,492,2017
PENDER ,3,13,53,589,0,658,2017
PERQUIMANS ,0,1,5,118,0,124,2017
PERSON ,3,10,32,398,0,443,2017
PITT ,10,29,178,1834,0,2051,2017
POLK ,0,5,5,151,0,161,2017
RANDOLPH ,5,17,138,1415,1,1576,2017
RICHMOND ,1,17,68,488,0,574,2017
ROBESON ,7,53,162,1560,0,1782,2017
ROCKINGHAM ,0,11,76,773,0,860,2017
ROWAN ,5,17,116,1450,0,1588,2017
RUTHERFORD ,1,12,57,618,1,689,2017
SAMPSON ,2,16,49,764,0,831,2017
SCOTLAND ,0,8,53,394,0,455,2017
STANLY ,3,14,58,657,0,732,2017
STOKES ,0,4,26,374,0,404,2017
SURRY ,0,15,55,668,0,738,2017
SWAIN ,0,2,1,149,0,152,2017
TRANSYLVANIA ,0,1,15,236,0,252,2017
TYRRELL ,0,0,4,34,0,38,2017
UNION ,7,20,145,2210,0,2382,2017
VANCE ,0,10,60,513,1,584,2017
WAKE ,30,164,829,11658,2,12683,2017
WARREN ,0,2,13,161,0,176,2017
WASHINGTON ,1,2,10,121,0,134,2017
WATAUGA ,2,6,26,364,0,398,2017
WAYNE ,3,32,126,1450,0,1611,2017
WILKES ,2,13,63,571,0,649,2017
WILSON ,3,21,68,847,0,939,2017
YADKIN ,0,5,35,352,0,392,2017
YANCEY ,0,1,12,157,0,170,2017
