Counties,White_Non_Hispanic,African_American_Non_Hispanic,Other_Non_Hispanic,Hispanic,Total_Race,Year
ALAMANCE ,1018,398,49,391,1856,2016
ALEXANDER ,296,11,8,28,343,2016
ALLEGHANY ,81,2,0,12,95,2016
ANSON ,110,138,6,12,266,2016
ASHE ,187,2,1,19,209,2016
AVERY ,126,0,2,21,149,2016
BEAUFORT ,228,135,5,63,431,2016
BERTIE ,51,133,1,5,190,2016
BLADEN ,155,119,11,48,333,2016
BRUNSWICK ,722,131,23,102,978,2016
BUNCOMBE ,2035,198,53,309,2595,2016
BURKE ,676,39,71,114,900,2016
CABARRUS ,1447,443,163,424,2477,2016
CALDWELL ,707,43,10,62,822,2016
CAMDEN ,77,7,4,2,90,2016
CARTERET ,451,35,14,46,546,2016
CASWELL ,146,45,1,11,203,2016
CATAWBA ,1068,176,134,286,1664,2016
CHATHAM ,408,75,24,133,640,2016
CHEROKEE ,235,4,7,11,257,2016
CHOWAN ,56,54,0,3,113,2016
CLAY ,89,2,2,8,101,2016
CLEVELAND ,733,260,18,48,1059,2016
COLUMBUS ,324,188,20,61,593,2016
CRAVEN ,905,301,90,143,1439,2016
CUMBERLAND ,2332,2042,301,771,5446,2016
CURRITUCK ,231,16,3,12,262,2016
DARE ,251,7,3,58,319,2016
DAVIDSON ,1344,189,34,204,1771,2016
DAVIE ,338,30,4,48,420,2016
DUPLIN ,277,148,7,274,706,2016
DURHAM ,1652,1422,298,974,4346,2016
EDGECOMBE ,144,385,0,38,567,2016
FORSYTH ,2188,1200,187,920,4495,2016
FRANKLIN ,399,197,10,77,683,2016
GASTON ,1682,492,47,303,2524,2016
GATES ,78,28,2,3,111,2016
GRAHAM ,73,1,6,4,84,2016
GRANVILLE ,316,168,14,72,570,2016
GREENE ,85,66,3,53,207,2016
GUILFORD ,2412,2516,496,834,6258,2016
HALIFAX ,182,337,17,23,559,2016
HARNETT ,1136,371,44,310,1861,2016
HAYWOOD ,566,13,8,29,616,2016
HENDERSON ,803,42,33,211,1089,2016
HERTFORD ,59,148,5,11,223,2016
HOKE ,467,220,93,155,935,2016
HYDE ,20,8,0,11,39,2016
IREDELL ,1304,305,88,227,1924,2016
JACKSON ,268,7,78,39,392,2016
JOHNSTON ,1476,359,47,454,2336,2016
JONES ,63,15,0,5,83,2016
LEE ,389,169,17,235,810,2016
LENOIR ,255,305,6,81,647,2016
LINCOLN ,676,47,16,70,809,2016
MCDOWELL ,389,11,9,35,444,2016
MACON ,257,2,11,63,333,2016
MADISON ,189,1,1,5,196,2016
MARTIN ,101,115,2,19,237,2016
MECKLENBURG ,5795,4699,1422,2960,14876,2016
MITCHELL ,126,1,1,13,141,2016
MONTGOMERY ,175,36,10,75,296,2016
MOORE ,834,146,43,109,1132,2016
NASH ,429,461,20,106,1016,2016
NEW HANOVER ,1552,370,68,251,2241,2016
NORTHAMPTON ,55,131,2,12,200,2016
ONSLOW ,2803,484,126,546,3959,2016
ORANGE ,689,152,130,195,1166,2016
PAMLICO ,67,17,3,11,98,2016
PASQUOTANK ,253,172,14,40,479,2016
PENDER ,459,94,9,89,651,2016
PERQUIMANS ,100,17,2,3,122,2016
PERSON ,244,122,5,30,401,2016
PITT ,924,870,58,171,2023,2016
POLK ,113,6,1,20,140,2016
RANDOLPH ,1115,133,52,300,1600,2016
RICHMOND ,250,188,28,52,518,2016
ROBESON ,331,381,787,276,1775,2016
ROCKINGHAM ,650,185,10,92,937,2016
ROWAN ,1102,298,32,218,1650,2016
RUTHERFORD ,529,74,9,47,659,2016
SAMPSON ,333,198,36,264,831,2016
SCOTLAND ,152,211,85,7,455,2016
STANLY ,517,98,30,45,690,2016
STOKES ,339,12,3,26,380,2016
SURRY ,537,40,7,139,723,2016
SWAIN ,80,1,75,13,169,2016
TRANSYLVANIA ,233,11,4,15,263,2016
TYRRELL ,29,10,0,12,51,2016
UNION ,1593,311,71,441,2416,2016
VANCE ,168,288,11,63,530,2016
WAKE ,6886,2786,1328,2019,13019,2016
WARREN ,48,106,9,14,177,2016
WASHINGTON ,37,81,0,8,126,2016
WATAUGA ,330,5,7,25,367,2016
WAYNE ,801,485,35,315,1636,2016
WILKES ,587,20,8,76,691,2016
WILSON ,380,379,26,179,964,2016
YADKIN ,306,5,5,76,392,2016
YANCEY ,141,1,0,12,154,2016
